fecha_snapshot,fecha_dato,geografia,variable,valor,unidad,fuente
2026-07-20,2026-07-20,COLOMBIA,fx_usd_local,3253.080078125,COP/USD,yfinance
2026-07-20,2026-07-20,GLOBAL,precio_cafe_arabica,324.1499938964844,USc/lb,yfinance
2026-07-20,2026-07-17,COLOMBIA,precio_interno_referencia,2225000.0,COP/carga_125kg,FNC
2026-07-20,2026-06-01,COLOMBIA,produccion_nacional,1304.0,miles_sacos_60kg,FNC
2026-07-20,2026-05-01,COLOMBIA,exportaciones_cafe,921.432,miles_sacos_60kg,FNC
2026-07-20,2026-07-20,Antioquia,precipitacion_semanal,28.1,mm,open-meteo
2026-07-20,2026-07-20,Antioquia,temp_min_semanal,17.2,°C,open-meteo
2026-07-20,2026-07-20,Antioquia,temp_max_semanal,32.0,°C,open-meteo
2026-07-20,2026-07-20,Antioquia,temp_promedio_semanal,24.1437,°C,open-meteo
2026-07-20,2026-07-20,Caldas,precipitacion_semanal,72.2,mm,open-meteo
2026-07-20,2026-07-20,Caldas,temp_min_semanal,11.9,°C,open-meteo
2026-07-20,2026-07-20,Caldas,temp_max_semanal,23.3,°C,open-meteo
2026-07-20,2026-07-20,Caldas,temp_promedio_semanal,17.175,°C,open-meteo
2026-07-20,2026-07-20,Cauca,precipitacion_semanal,13.9,mm,open-meteo
2026-07-20,2026-07-20,Cauca,temp_min_semanal,15.3,°C,open-meteo
2026-07-20,2026-07-20,Cauca,temp_max_semanal,30.7,°C,open-meteo
2026-07-20,2026-07-20,Cauca,temp_promedio_semanal,22.2,°C,open-meteo
2026-07-20,2026-07-20,Huila,precipitacion_semanal,46.9,mm,open-meteo
2026-07-20,2026-07-20,Huila,temp_min_semanal,14.6,°C,open-meteo
2026-07-20,2026-07-20,Huila,temp_max_semanal,26.1,°C,open-meteo
2026-07-20,2026-07-20,Huila,temp_promedio_semanal,19.9688,°C,open-meteo
2026-07-20,2026-07-20,Nariño,precipitacion_semanal,24.2,mm,open-meteo
2026-07-20,2026-07-20,Nariño,temp_min_semanal,14.8,°C,open-meteo
2026-07-20,2026-07-20,Nariño,temp_max_semanal,28.4,°C,open-meteo
2026-07-20,2026-07-20,Nariño,temp_promedio_semanal,21.2937,°C,open-meteo
2026-07-20,2026-07-20,Quindío,precipitacion_semanal,89.3,mm,open-meteo
2026-07-20,2026-07-20,Quindío,temp_min_semanal,15.2,°C,open-meteo
2026-07-20,2026-07-20,Quindío,temp_max_semanal,28.4,°C,open-meteo
2026-07-20,2026-07-20,Quindío,temp_promedio_semanal,21.5312,°C,open-meteo
2026-07-20,2026-07-20,Risaralda,precipitacion_semanal,32.8,mm,open-meteo
2026-07-20,2026-07-20,Risaralda,temp_min_semanal,15.9,°C,open-meteo
2026-07-20,2026-07-20,Risaralda,temp_max_semanal,30.1,°C,open-meteo
2026-07-20,2026-07-20,Risaralda,temp_promedio_semanal,22.7437,°C,open-meteo
2026-07-20,2026-07-20,Tolima,precipitacion_semanal,69.4,mm,open-meteo
2026-07-20,2026-07-20,Tolima,temp_min_semanal,16.2,°C,open-meteo
2026-07-20,2026-07-20,Tolima,temp_max_semanal,26.8,°C,open-meteo
2026-07-20,2026-07-20,Tolima,temp_promedio_semanal,21.025,°C,open-meteo
