fecha_snapshot,fecha_dato,geografia,variable,valor,unidad,fuente
2026-07-06,2026-07-06,COLOMBIA,fx_usd_local,3344.719970703125,COP/USD,yfinance
2026-07-06,2026-07-06,GLOBAL,precio_cafe_arabica,320.1000061035156,USc/lb,yfinance
2026-07-06,2026-07-03,COLOMBIA,precio_interno_referencia,2230000.0,COP/carga_125kg,FNC
2026-07-06,2026-06-01,COLOMBIA,produccion_nacional,1304.0,miles_sacos_60kg,FNC
2026-07-06,2026-05-01,COLOMBIA,exportaciones_cafe,921.432,miles_sacos_60kg,FNC
2026-07-06,2026-07-06,Antioquia,precipitacion_semanal,32.1,mm,open-meteo
2026-07-06,2026-07-06,Antioquia,temp_min_semanal,17.6,°C,open-meteo
2026-07-06,2026-07-06,Antioquia,temp_max_semanal,33.3,°C,open-meteo
2026-07-06,2026-07-06,Antioquia,temp_promedio_semanal,24.2437,°C,open-meteo
2026-07-06,2026-07-06,Caldas,precipitacion_semanal,30.6,mm,open-meteo
2026-07-06,2026-07-06,Caldas,temp_min_semanal,12.3,°C,open-meteo
2026-07-06,2026-07-06,Caldas,temp_max_semanal,23.7,°C,open-meteo
2026-07-06,2026-07-06,Caldas,temp_promedio_semanal,17.2063,°C,open-meteo
2026-07-06,2026-07-06,Cauca,precipitacion_semanal,17.1,mm,open-meteo
2026-07-06,2026-07-06,Cauca,temp_min_semanal,15.0,°C,open-meteo
2026-07-06,2026-07-06,Cauca,temp_max_semanal,28.6,°C,open-meteo
2026-07-06,2026-07-06,Cauca,temp_promedio_semanal,22.1375,°C,open-meteo
2026-07-06,2026-07-06,Huila,precipitacion_semanal,37.6,mm,open-meteo
2026-07-06,2026-07-06,Huila,temp_min_semanal,15.8,°C,open-meteo
2026-07-06,2026-07-06,Huila,temp_max_semanal,25.8,°C,open-meteo
2026-07-06,2026-07-06,Huila,temp_promedio_semanal,20.0188,°C,open-meteo
2026-07-06,2026-07-06,Nariño,precipitacion_semanal,17.1,mm,open-meteo
2026-07-06,2026-07-06,Nariño,temp_min_semanal,15.2,°C,open-meteo
2026-07-06,2026-07-06,Nariño,temp_max_semanal,27.5,°C,open-meteo
2026-07-06,2026-07-06,Nariño,temp_promedio_semanal,21.1375,°C,open-meteo
2026-07-06,2026-07-06,Quindío,precipitacion_semanal,46.6,mm,open-meteo
2026-07-06,2026-07-06,Quindío,temp_min_semanal,15.7,°C,open-meteo
2026-07-06,2026-07-06,Quindío,temp_max_semanal,28.6,°C,open-meteo
2026-07-06,2026-07-06,Quindío,temp_promedio_semanal,21.3188,°C,open-meteo
2026-07-06,2026-07-06,Risaralda,precipitacion_semanal,9.9,mm,open-meteo
2026-07-06,2026-07-06,Risaralda,temp_min_semanal,17.1,°C,open-meteo
2026-07-06,2026-07-06,Risaralda,temp_max_semanal,29.9,°C,open-meteo
2026-07-06,2026-07-06,Risaralda,temp_promedio_semanal,22.2875,°C,open-meteo
2026-07-06,2026-07-06,Tolima,precipitacion_semanal,20.3,mm,open-meteo
2026-07-06,2026-07-06,Tolima,temp_min_semanal,15.8,°C,open-meteo
2026-07-06,2026-07-06,Tolima,temp_max_semanal,26.2,°C,open-meteo
2026-07-06,2026-07-06,Tolima,temp_promedio_semanal,20.6,°C,open-meteo
